work_id,concept_id,concept_display_name,concept_level,concept_score
https://openalex.org/W7114984451,https://openalex.org/C42156128,Total harmonic distortion,3,0.76774
https://openalex.org/W7114984451,https://openalex.org/C11190779,Inverter,3,0.67271
https://openalex.org/W7114984451,https://openalex.org/C41008148,Computer science,0,0.647
https://openalex.org/W7114984451,https://openalex.org/C38264464,DSPACE,2,0.61468
https://openalex.org/W7114984451,https://openalex.org/C188573790,Renewable energy,2,0.59762
https://openalex.org/W7114984451,https://openalex.org/C165801399,Voltage,2,0.58735
https://openalex.org/W7114984451,https://openalex.org/C197424946,Waveform,3,0.57426
https://openalex.org/W7114984451,https://openalex.org/C2779478453,Modularity (biology),2,0.57249
https://openalex.org/W7114984451,https://openalex.org/C127934551,Harmonic,2,0.44273
https://openalex.org/W7114984451,https://openalex.org/C184720557,Topology (electrical circuits),2,0.43215
https://openalex.org/W7114984451,https://openalex.org/C24326235,Electronic engineering,1,0.39005
https://openalex.org/W7114984451,https://openalex.org/C171146098,Automotive engineering,1,0.36923
https://openalex.org/W7114984451,https://openalex.org/C2742236,Efficient energy use,2,0.35769
https://openalex.org/W7114984451,https://openalex.org/C186370098,Energy (signal processing),2,0.35017
https://openalex.org/W7114984451,https://openalex.org/C126780896,Distortion (music),4,0.33973
https://openalex.org/W7114984451,https://openalex.org/C119599485,Electrical engineering,1,0.33726
https://openalex.org/W7114984451,https://openalex.org/C199845137,Network topology,2,0.30498
https://openalex.org/W7114984451,https://openalex.org/C2776422217,Electric vehicle,3,0.29383
https://openalex.org/W7114984451,https://openalex.org/C35398282,Grid-tie inverter,5,0.27409
https://openalex.org/W7114984451,https://openalex.org/C131770355,Harmonic analysis,2,0.2627
https://openalex.org/W7114984451,https://openalex.org/C77715397,Electrical load,3,0.25339
https://openalex.org/W7114994264,https://openalex.org/C63662833,Microchannel,2,0.83522
https://openalex.org/W7114994264,https://openalex.org/C21946209,Nanofluid,3,0.80371
https://openalex.org/W7114994264,https://openalex.org/C179428855,Microscale chemistry,2,0.78885
https://openalex.org/W7114994264,https://openalex.org/C57879066,Mechanics,1,0.72126
https://openalex.org/W7114994264,https://openalex.org/C192562407,Materials science,0,0.60569
https://openalex.org/W7114994264,https://openalex.org/C127172972,Viscosity,2,0.58979
https://openalex.org/W7114994264,https://openalex.org/C50517652,Heat transfer,2,0.51535
https://openalex.org/W7114994264,https://openalex.org/C72921944,Drag,2,0.50608
https://openalex.org/W7114994264,https://openalex.org/C132651336,Fluidics,2,0.47253
https://openalex.org/W7114994264,https://openalex.org/C97346530,Thermal conductivity,2,0.46684
https://openalex.org/W7114994264,https://openalex.org/C184608416,Lubrication,2,0.4309
https://openalex.org/W7114994264,https://openalex.org/C38349280,Flow (mathematics),2,0.41965
https://openalex.org/W7114994264,https://openalex.org/C92718894,Transport phenomena,2,0.38825
https://openalex.org/W7114994264,https://openalex.org/C204530211,Thermal,2,0.37887
https://openalex.org/W7114994264,https://openalex.org/C90278072,Fluid dynamics,2,0.37819
https://openalex.org/W7114994264,https://openalex.org/C8673954,Microfluidics,2,0.36819
https://openalex.org/W7114994264,https://openalex.org/C1633027,Computational fluid dynamics,2,0.33406
https://openalex.org/W7114994264,https://openalex.org/C162802515,Lubrication theory,3,0.32259
https://openalex.org/W7114994264,https://openalex.org/C177918212,Perturbation (astronomy),2,0.32206
https://openalex.org/W7114994264,https://openalex.org/C195993236,Electro-osmosis,3,0.31393
https://openalex.org/W7114994264,https://openalex.org/C165995430,Boltzmann equation,2,0.31332
https://openalex.org/W7114994264,https://openalex.org/C114088122,Pressure drop,2,0.31035
https://openalex.org/W7114994264,https://openalex.org/C173636693,Homotopy analysis method,3,0.3072
https://openalex.org/W7114994264,https://openalex.org/C2775952280,Silicone oil,2,0.30711
https://openalex.org/W7114994264,https://openalex.org/C43093850,Brinkman number,5,0.30238
https://openalex.org/W7114994264,https://openalex.org/C97355855,Thermodynamics,1,0.28717
https://openalex.org/W7114994264,https://openalex.org/C200990466,Rheology,2,0.27644
https://openalex.org/W7114994264,https://openalex.org/C172100665,Thermal conduction,2,0.26721
https://openalex.org/W7114994264,https://openalex.org/C166693061,Flow velocity,3,0.26364
https://openalex.org/W7114994264,https://openalex.org/C98156149,Pressure gradient,2,0.25459
https://openalex.org/W7114994264,https://openalex.org/C38834483,Traction (geology),2,0.2517
https://openalex.org/W7114994264,https://openalex.org/C2992163139,Water transport,3,0.25134
https://openalex.org/W7115060239,https://openalex.org/C41008148,Computer science,0,0.61264
https://openalex.org/W7115060239,https://openalex.org/C124101348,Data mining,1,0.55102
https://openalex.org/W7115060239,https://openalex.org/C132964779,Raw data,2,0.50219
https://openalex.org/W7115060239,https://openalex.org/C106301342,Entropy (arrow of time),2,0.49078
https://openalex.org/W7115060239,https://openalex.org/C2776760102,Code (set theory),3,0.49067
https://openalex.org/W7115060239,https://openalex.org/C2668921,Impervious surface,2,0.44595
https://openalex.org/W7115060239,https://openalex.org/C43126263,Source code,2,0.40109
https://openalex.org/W7115060239,https://openalex.org/C58166,Fuzzy logic,2,0.39001
https://openalex.org/W7115060239,https://openalex.org/C2780365114,MATLAB,2,0.38943
https://openalex.org/W7115060239,https://openalex.org/C2777904410,Software,2,0.33316
https://openalex.org/W7115060239,https://openalex.org/C67186912,Data modeling,2,0.33201
https://openalex.org/W7115060239,https://openalex.org/C151406439,Time series,2,0.30222
https://openalex.org/W7115060239,https://openalex.org/C39432304,Environmental science,0,0.28771
https://openalex.org/W7115060239,https://openalex.org/C11413529,Algorithm,1,0.28319
https://openalex.org/W7115060239,https://openalex.org/C2779585090,Resilience (materials science),2,0.28171
https://openalex.org/W7115060239,https://openalex.org/C77088390,Database,1,0.28151
https://openalex.org/W7115060239,https://openalex.org/C42011625,Fuzzy set,3,0.2665
https://openalex.org/W7115060239,https://openalex.org/C126197015,Hydrological modelling,2,0.25764
https://openalex.org/W7115060239,https://openalex.org/C2987896495,Event data,3,0.25374
https://openalex.org/W7115068680,https://openalex.org/C41008148,Computer science,0,0.61264
https://openalex.org/W7115068680,https://openalex.org/C124101348,Data mining,1,0.55102
https://openalex.org/W7115068680,https://openalex.org/C132964779,Raw data,2,0.50219
https://openalex.org/W7115068680,https://openalex.org/C106301342,Entropy (arrow of time),2,0.49078
https://openalex.org/W7115068680,https://openalex.org/C2776760102,Code (set theory),3,0.49067
https://openalex.org/W7115068680,https://openalex.org/C2668921,Impervious surface,2,0.44595
https://openalex.org/W7115068680,https://openalex.org/C43126263,Source code,2,0.40109
https://openalex.org/W7115068680,https://openalex.org/C58166,Fuzzy logic,2,0.39001
https://openalex.org/W7115068680,https://openalex.org/C2780365114,MATLAB,2,0.38943
https://openalex.org/W7115068680,https://openalex.org/C2777904410,Software,2,0.33316
https://openalex.org/W7115068680,https://openalex.org/C67186912,Data modeling,2,0.33201
https://openalex.org/W7115068680,https://openalex.org/C151406439,Time series,2,0.30222
https://openalex.org/W7115068680,https://openalex.org/C39432304,Environmental science,0,0.28771
https://openalex.org/W7115068680,https://openalex.org/C11413529,Algorithm,1,0.28319
https://openalex.org/W7115068680,https://openalex.org/C2779585090,Resilience (materials science),2,0.28171
https://openalex.org/W7115068680,https://openalex.org/C77088390,Database,1,0.28151
https://openalex.org/W7115068680,https://openalex.org/C42011625,Fuzzy set,3,0.2665
https://openalex.org/W7115068680,https://openalex.org/C126197015,Hydrological modelling,2,0.25764
https://openalex.org/W7115068680,https://openalex.org/C2987896495,Event data,3,0.25374
https://openalex.org/W7115069602,https://openalex.org/C41008148,Computer science,0,0.61264
https://openalex.org/W7115069602,https://openalex.org/C124101348,Data mining,1,0.55102
https://openalex.org/W7115069602,https://openalex.org/C132964779,Raw data,2,0.50219
https://openalex.org/W7115069602,https://openalex.org/C106301342,Entropy (arrow of time),2,0.49078
https://openalex.org/W7115069602,https://openalex.org/C2776760102,Code (set theory),3,0.49067
https://openalex.org/W7115069602,https://openalex.org/C2668921,Impervious surface,2,0.44595
https://openalex.org/W7115069602,https://openalex.org/C43126263,Source code,2,0.40109
https://openalex.org/W7115069602,https://openalex.org/C58166,Fuzzy logic,2,0.39001
https://openalex.org/W7115069602,https://openalex.org/C2780365114,MATLAB,2,0.38943
https://openalex.org/W7115069602,https://openalex.org/C2777904410,Software,2,0.33316
https://openalex.org/W7115069602,https://openalex.org/C67186912,Data modeling,2,0.33201
https://openalex.org/W7115069602,https://openalex.org/C151406439,Time series,2,0.30222
https://openalex.org/W7115069602,https://openalex.org/C39432304,Environmental science,0,0.28771
https://openalex.org/W7115069602,https://openalex.org/C11413529,Algorithm,1,0.28319
https://openalex.org/W7115069602,https://openalex.org/C2779585090,Resilience (materials science),2,0.28171
https://openalex.org/W7115069602,https://openalex.org/C77088390,Database,1,0.28151
https://openalex.org/W7115069602,https://openalex.org/C42011625,Fuzzy set,3,0.2665
https://openalex.org/W7115069602,https://openalex.org/C126197015,Hydrological modelling,2,0.25764
https://openalex.org/W7115069602,https://openalex.org/C2987896495,Event data,3,0.25374
https://openalex.org/W7115069933,https://openalex.org/C2779594111,Plumage,2,0.83941
https://openalex.org/W7115069933,https://openalex.org/C86803240,Biology,0,0.63453
https://openalex.org/W7115069933,https://openalex.org/C127745971,Feather,2,0.47219
https://openalex.org/W7115069933,https://openalex.org/C90856448,Zoology,1,0.46398
https://openalex.org/W7115069933,https://openalex.org/C193252679,Phylogenetic tree,3,0.38438
https://openalex.org/W7115069933,https://openalex.org/C106934330,Trait,2,0.37505
https://openalex.org/W7115069933,https://openalex.org/C2778307483,Colored,2,0.32768
https://openalex.org/W7115069933,https://openalex.org/C78458016,Evolutionary biology,1,0.30715
https://openalex.org/W7115069933,https://openalex.org/C44465124,Clade,4,0.2782
https://openalex.org/W7115069933,https://openalex.org/C2778004798,Beak,2,0.27114
https://openalex.org/W7115069933,https://openalex.org/C140530291,Dorsum,2,0.26731
https://openalex.org/W7115069933,https://openalex.org/C3017739461,New guinea,2,0.25631
https://openalex.org/W7115072320,https://openalex.org/C2779594111,Plumage,2,0.83941
https://openalex.org/W7115072320,https://openalex.org/C86803240,Biology,0,0.63453
https://openalex.org/W7115072320,https://openalex.org/C127745971,Feather,2,0.47219
https://openalex.org/W7115072320,https://openalex.org/C90856448,Zoology,1,0.46398
https://openalex.org/W7115072320,https://openalex.org/C193252679,Phylogenetic tree,3,0.38438
https://openalex.org/W7115072320,https://openalex.org/C106934330,Trait,2,0.37505
https://openalex.org/W7115072320,https://openalex.org/C2778307483,Colored,2,0.32768
https://openalex.org/W7115072320,https://openalex.org/C78458016,Evolutionary biology,1,0.30715
https://openalex.org/W7115072320,https://openalex.org/C44465124,Clade,4,0.2782
https://openalex.org/W7115072320,https://openalex.org/C2778004798,Beak,2,0.27114
https://openalex.org/W7115072320,https://openalex.org/C140530291,Dorsum,2,0.26731
